"key","en","vi"
"em_yggdrasil_main_quest_2_frost_sense_crystal.lore[0]","&aAn intricate device with many gears and","&aMột thiết bị phức tạp với nhiều bánh răng và"
"em_yggdrasil_main_quest_2_frost_sense_crystal.lore[1]","&agolden inlays, centered around a large crystal.","&asca tráng kim bọc, xoay quanh một tinh thể lớn."
"em_yggdrasil_main_quest_2_frost_sense_crystal.name","&2Frost-Sense Crystal","&2Tinh Thể Cảm Ứng Băng"
"em_yggdrasil_main_quest_2_ingrid.dialog[0]","I feel like this prank went too far.","T├┤i cß║úm thß║Ñy tr├▓ ─æ├╣a n├áy ─æ├ú ─æi qu├í xa."
"em_yggdrasil_main_quest_2_ingrid.dialog[1]","Only one god could be behind this mess...","Chỉ có một vị thần có thể đứng sau mớ hỗn độn này..."
"em_yggdrasil_main_quest_2_ingrid.farewell[0]","Bye!","Tạm biệt!"
"em_yggdrasil_main_quest_2_ingrid.farewell[1]","Until later.","Hẹn gặp lại sau."
"em_yggdrasil_main_quest_2_ingrid.greetings[0]","Hello, there!","Xin chào!"
"em_yggdrasil_main_quest_2_ingrid.greetings[1]","Hiya!","Này!"
"em_yggdrasil_main_quest_2_ingrid.name","&eIngrid","&eIngrid"
"em_yggdrasil_main_quest_2_ingrid.role","&e<Wise Woman>","&e<Phụ nữ khôn ngoan>"
"em_yggdrasil_main_quest_2_tricks_and_pranks.customObjectives.Objective6.dialog[0]","&e[Tor-Olav] &fWho are you? Ingrid sent you?","&e[Tor-Olav] &fBạn là ai? Có phải Ingrid gửi tới không?"
"em_yggdrasil_main_quest_2_tricks_and_pranks.name","&eTricks and Pranks!","&eNhững chiêu trò và trêu chọc!"
"em_yggdrasil_main_quest_2_tricks_and_pranks.questAcceptDialog[0]","&6[Ingrid]&fFeel free to clear some of these beasts while you head towards the cave, I really do not need any more of them coming to my house and stealing my valuable property.","&6[Ingrid]&fBạn có thể yên tâm quét bớt vài con thú dữ khi đi về hướng hang, tôi thật sự không muốn chúng tiếp tục đến nhà tôi và lấy cắp đồ quý."
"em_yggdrasil_main_quest_2_tricks_and_pranks.questAcceptDialog[1]","&6[Ingrid]&fYou can reach the cave by going behind the hill and following the river to the east.","&6[Ingrid]&fBạn có thể tới hang bằng cách đi sau quả đồi và theo dòng sông về phía đông."
"em_yggdrasil_main_quest_2_tricks_and_pranks.questAcceptDialog[2]","&6[Ingrid]&fOnce you have the device, bring it to &eTor-Olav&f, a man of strong body and mind. I doubt Loki's charm spell could have swayed him, and he has more than enough brawn to operate the device.","&6[Ingrid]&fKhi có thiết bị rồi, đưa nó cho &eTor-Olav&f, một người rất khỏe và rất thông minh. Tôi tin Loki không thể thôi miên được ông ấy, và ông ấy có nhiều sức lực để vận hành thiết bị."
"em_yggdrasil_main_quest_2_tricks_and_pranks.questAcceptDialog[3]","&7&oAn Ice Giant, never fought one of those before, I mean how big could it be...","&7&oNgười khổng lồ Băng, chưa bao giờ đánh một kẻ nào như vậy, tôi muốn biết nó to tới mức nào..."
"em_yggdrasil_main_quest_2_tricks_and_pranks.questCompleteMessage[0]","&6[Tor-Olav]&fYou want me to operate this device? Alright, but first... we need to talk. I need an explanation of everything that’s happened.","&6[Tor-Olav]&fBạn muốn tôi vận hành thiết bị này? Được, nhưng trước tiên... chúng ta cần nói chuyện. Tôi cần giải thích mọi thứ đã xảy ra."
"em_yggdrasil_main_quest_2_tricks_and_pranks.questCompleteMessage[1]","&7&oI hope he's a good listener.","&7&oMong anh ấy là người biết lắng nghe."
"em_yggdrasil_main_quest_2_tricks_and_pranks.questLore[0]","So Rune sent you, then... Good, we need help. The villagers are dazed, mumbling nonsense as if caught in some strange trance, and mischievous beasts run through the town causing chaos.","&6[Vậy Rune đã gửi bạn đến, rồi...] Tốt, chúng tôi cần giúp đỡ. Dân làng đang choáng váng, lẩm bẩm như mắc kẹt trong một cơn mê kỳ lạ, và những con quái vật nghịch ngợm chạy khắp thị trấn làm náo loạn."
"em_yggdrasil_main_quest_2_tricks_and_pranks.questLore[1]","That enormous tree growing in the center… a seed of Yggdrasil... it is unnatural, and it seems tied to these disturbances.","Cái cây khổng lồ mọc giữa trung tâm... một hạt giống của Yggdrasil... nó không tự nhiên, và có vẻ liên quan đến những rối loạn này."
"em_yggdrasil_main_quest_2_tricks_and_pranks.questLore[2]","Only a god could have such power to cause all of this in so short a time. There is only one god I can think of who might be behind it, the god of mischief himself, Loki.","Chỉ có thần mới có sức mạnh gây ra tất cả chuyện này trong thời gian ngắn như vậy. Chỉ có một vị thần mà tôi nghĩ có thể đứng sau chuyện này, vị thần tinh quái Loki."
"em_yggdrasil_main_quest_2_tricks_and_pranks.questLore[3]","But he is not a god of evil, his pranks and tricks usually have a reason. And I think I know what might be going on.","Nhưng hắn không phải tà thần, những trò tinh quái của hắn thường có lý do. Và tôi nghĩ tôi biết chuyện gì có thể đang xảy ra."
"em_yggdrasil_main_quest_2_tricks_and_pranks.questLore[4]","You see, an unnatural cold has been creeping across the village for some time, threatening crops and wells. If left unchecked, it would have been the end of this village and its people.","Các bạn xem, một cái lạnh vô cớ đã len lỏi qua làng một thời gian dài, đe dọa mùa màng và giếng nước. Nếu không ngăn chặn, làng và dân làng này đã chết không phanh."
"em_yggdrasil_main_quest_2_tricks_and_pranks.questLore[5]","But now, the cold does not bite as before, it feels fresh and natural, as if some being of immense power, perhaps a god, has stopped it at its root.","Nhưng giờ cái lạnh không còn cắn buốt như trước, nó trở nên mát lành và tự nhiên, như thể một thực thể quyền năng khủng khiếp, có lẽ là thần linh, đã chặn nó ngay từ gốc rễ."
"em_yggdrasil_main_quest_2_tricks_and_pranks.questLore[6]","The chaos and the strange creatures, however, I suspect... that may be Loki’s idea of repayment, his amusement for saving us.","Nhưng hỗn loạn và những sinh vật lạ kia, tôi nghi ngờ... đó có thể là cách Loki trả ơn, đó là trò cười của hắn vì đã cứu chúng ta."
"em_yggdrasil_main_quest_2_tricks_and_pranks.questLore[7]","There is a device that measures the cold, but a harpy stole it and brought it to an ice giant hiding in a nearby cave. I cannot operate the device myself anymore, my hands are too old to manage it.","Có một thiết bị đo mức lạnh, nhưng một con hải mã đã đánh cắp nó và mang tới người khổng lồ băng ẩn náu trong hang gần đó. Tôi không thể tự vận hành thiết bị nữa, tay tôi đã quá già."
"em_yggdrasil_main_quest_2_tricks_and_pranks.questLore[8]","I need you to slay the beasts, defeat the ice giant, and bring the device back.","T├┤i cß║ºn anh hß║í l┼⌐ qu├íi th├║, ─æ├ính bß║íi g├ú khß╗òng lß╗ô b─âng v├á mang thiß║┐t bß╗ï vß╗ü."
"em_yggdrasil_main_quest_2_tricks_and_pranks.questLore[9]","Once another can read it, we will know if the frost has truly been stopped and confirm that Loki’s intervention saved the village. Everything else is just his playful payment.","Khi có người khác đọc được nó, chúng ta sẽ biết liệu băng giá đã thực sự bị ngăn lại hay chưa và xác nhận rằng sự can thiệp của Loki đã cứu ngôi làng. Mọi thứ khác chỉ là cái giá đùa cợt của hắn."
"em_yggdrasil_main_quest_3_and_4_tor_olav.dialog[0]","Well, I guess this could have been a lot worse.","Chắc, có thể mọi thứ đã không quá tệ hơn thế này."
"em_yggdrasil_main_quest_3_and_4_tor_olav.farewell[0]","Strength be with you!","Sức mạnh sẽ ở cùng bạn!"
"em_yggdrasil_main_quest_3_and_4_tor_olav.greetings[0]","Well met!","Gặp được rồi!"
"em_yggdrasil_main_quest_3_and_4_tor_olav.name","&eTor-Olav","&eTor-Olav"
"em_yggdrasil_main_quest_3_and_4_tor_olav.role","&e<Village Hero>","&e<Anh hùng làng>"
"em_yggdrasil_main_quest_3_wyrm_slayer.name","&eWyrm Slayer!","&aKẻ Sát Wyrm!"
"em_yggdrasil_main_quest_3_wyrm_slayer.questAcceptDialog[0]","&6[Tor-Olav]&f Ha! That’s the spirit! Head east to the arena and show that Wyrm what for before it burns the place to cinders.","&6[Tor-Olav]&f Ha! Đó mới là tinh thần! Đi về phía đông tới đấu trường và cho thấy cho Wyrm xem trước khi nó thiêu rụi cả nơi này."
"em_yggdrasil_main_quest_3_wyrm_slayer.questAcceptDialog[1]","&6[Tor-Olav]&f And hey, if you spot any of those little beasties skulking about on your way, knock a few down. Never hurts to give the village some peace and quiet while you’re at it.","&6[Tor-Olav]&f Và này, nếu bạn thấy vài con thú quái quanh quẩn, hạ bớt vài con. Không bao giờ mất gì khi ban đem lại bình yên cho làng trong lúc đi."
"em_yggdrasil_main_quest_3_wyrm_slayer.questAcceptDialog[2]","&7&oGrabbing some fire protection before I fight the Wyrm might be a good idea.","&7&oNên lấy thêm một chút bảo vệ chống lửa trước khi tôi chiến đấu với Wyrm, có lẽ là một ý tưởng hay."
"em_yggdrasil_main_quest_3_wyrm_slayer.questCompleteMessage[0]","&6[Tor-Olav]&f Ha! Well struck, my friend! That Wyrm won’t be scorching our fine arena any time soon thanks to you.","&6[Tor-Olav]&f Ha! Đánh trúng tốt, bạn thân mến! Con Wyrm đó sẽ không làm nóng đấu trường đẹp của chúng ta bất cứ lúc nào sớm nữa, nhờ bạn."
"em_yggdrasil_main_quest_3_wyrm_slayer.questCompleteMessage[1]","&6[Tor-Olav]&f Some might ask why I didn’t take care of it myself but, truth be told, if I went swinging in there, we’d have no arena left standing!","&6[Tor-Olav]&f Có thể có người hỏi tại sao tôi không tự lo việc này, nhưng thật ra nếu tôi xông vào đó thì chúng ta sẽ chẳng còn một đấu trường nào còn đứng vững!"
"em_yggdrasil_main_quest_3_wyrm_slayer.questCompleteMessage[2]","&6[Tor-Olav]&f Now, rest a moment and catch your breath. We’ll need to talk again soon, there’s still a god left to deal with, and I’ll need your strength once more.","&6[Tor-Olav]&f Bây giờ hãy nghỉ một chút và hít thở đã. Sắp tới ta sẽ lại phải nói chuyện thêm, còn một vị thần chưa xử lý, và tôi sẽ cần sức mạnh của bạn thêm lần nữa."
"em_yggdrasil_main_quest_3_wyrm_slayer.questCompleteMessage[3]","&7&oI should speak to &eTor-Olav again to hear what more he has to say.","&7&oTôi nên nói chuyện lại với &eTor-Olav&7&o để nghe thêm những gì ông ấy còn muốn nói."
"em_yggdrasil_main_quest_3_wyrm_slayer.questLore[0]","Ho! So you’re the one &eIngrid &fsent. Aye, we’ve talked it all through, and I get the whole story now. Quite the mess you’ve been wrapped up in, eh?","Hô! Vậy ra ngươi là người được &eIngrid &fgửi đến. Ừ, bọn ta đã bàn hết rồi, giờ ta nắm toàn bộ câu chuyện. Ngươi bị cuốn vào mớ rắc rối lớn ghê, nhỉ?"
"em_yggdrasil_main_quest_3_wyrm_slayer.questLore[1]","Here, hand me that fancy contraption. I may not look the part, but these big mitts can turn a gear or two.","Đây, đưa tôi cái thiết bị cầu kỳ đó. Tôi có thể trông không giống dân kỹ thuật, nhưng đôi tay to này vẫn xoay được vài bánh răng."
"em_yggdrasil_main_quest_3_wyrm_slayer.questLore[2]","&oHe fumbles a bit, then the Frost-Sense Crystal hums and glows. &fHa! Look at that! Ingrid was right! No more chill creeping over the village. Whatever was causing the biting cold, sure is gone now!","&oAnh ấy lúng túng một chút rồi Frost-Sense Crystal kêu ù và phát sáng. &fHa! Nhìn xem! Ingrid nói đúng! Không còn cái lạnh tràn qua làng nữa. Bất cứ thứ gì gây ra cái lạnh cắt da đó giờ đã biến mất rồi!"
"em_yggdrasil_main_quest_3_wyrm_slayer.questLore[3]","I guess Loki truly did come to aid us after all, though his way of taking payment is... troublesome.","Có lẽ Loki thật sự đã đến giúp chúng ta, dù cách hắn đòi thù lao thì... rắc rối."
"em_yggdrasil_main_quest_3_wyrm_slayer.questLore[4]","But don’t think you’re getting a break just yet. There’s a new fire to put out, quite literally!","Nhưng đừng nghĩ bạn được nghỉ ngay đâu. Có một đám cháy mới cần dập, theo đúng nghĩa đen!"
"em_yggdrasil_main_quest_3_wyrm_slayer.questLore[5]","The arena down east is being rebuilt, prettier than a bride’s dress on midsummer’s day. But a Wyrm has taken residence of the place, and if we let it sit, it’ll roast the timber, stone, and cloth to ashes before we ever see the first fight.","Đấu trường phía đông đang được xây lại, đẹp hơn cả chiếc váy cưới trong ngày giữa hè. Nhưng một con Wyrm đã chiếm chỗ đó, và nếu để nó ở lại, trước khi ta thấy trận đấu đầu tiên nó sẽ đốt gỗ, đá và vải thành tro."
"em_yggdrasil_main_quest_3_wyrm_slayer.questLore[6]","So! Grab your weapons, head to the arena, and give that scaly torch lighter a proper thrashing.","Vậy! Cầm vũ khí lên, đi đến đấu trường, và cho con quái da vảy thắp lửa đó một cú quất cho thật thỏa."
"em_yggdrasil_main_quest_4_loki_the_god_of_mischief.name","&eLoki The God of Mischief!","&eLoki The God of Mischief!"
"em_yggdrasil_main_quest_4_loki_the_god_of_mischief.questAcceptDialog[0]","&6[Tor-Olav]&f Right then, hero, the door at the base of the great tree will carry you up to Loki’s perch. Mind yourself, the path is crawling with foul beasts and tricks meant to trip you. Keep strong, and give Loki a fight worth remembering!","&6[Tor-Olav]&f Rồi, chiến binh, cánh cửa ở chân cây lớn sẽ đưa bạn lên chỗ ngồi của Loki. Cẩn thận, con đường đầy quái thú bẩn và thủ đoạn khiến bạn vấp ngã. Hãy vững vàng, và cho Loki một trận đáng nhớ!"
"em_yggdrasil_main_quest_4_loki_the_god_of_mischief.questAcceptDialog[1]","&7&oTime to face a god... I should make sure I am ready before I fight Loki.","&7&oĐã đến lúc đối mặt một vị thần... Tôi nên chắc rằng đã sẵn sàng trước khi đánh Loki."
"em_yggdrasil_main_quest_4_loki_the_god_of_mischief.questCompleteMessage[0]","&6[Tor-Olav]&f Back already, eh? You faced Loki himself, toppled him in battle, only to find it was another of his tricks, ha! Just like the old fox to play both sides of the board.","&6[Tor-Olav]&f Mới quay về à? Bạn đã đối diện trực tiếp Loki, hạ hắn trong trận đấu, rồi mới biết đó chỉ là một trò của hắn, ha! Đúng kiểu cáo già chơi cả hai phe."
"em_yggdrasil_main_quest_4_loki_the_god_of_mischief.questCompleteMessage[1]","&6[Tor-Olav]&f So then, the pranks are over, the cold has lifted, and the wyrm won’t be burning down our arena anytime soon. The village can finally breathe easy again, thanks to you. A mighty feat, one for songs and feasts both!","&6[Tor-Olav]&f Vậy thì, trò trêu chọc đã hết, cái lạnh đã tan, và Wyrm sẽ không thiêu đốt đấu trường của chúng ta ngay lúc này nữa. Ngôi làng có thể thở phào lại, nhờ bạn. Một chiến công lớn, đáng để ca hát và tiệc tùng cả hai!"
"em_yggdrasil_main_quest_4_loki_the_god_of_mischief.questCompleteMessage[2]","&6[Tor-Olav]&f As for me, I’ll keep raising my cup to Loki, trickster though he is, for he’s been my patron and helped me through many a scrape. But today, it’s you the people will raise their cups to. Rest well, hero, the village is safe, and all know who we have to thank.","&6[Tor-Olav]&f Còn tôi, tôi vẫn nâng cốc cho Loki, dù hắn là kẻ nghịch ngợm, vì hắn đã là người bảo trợ và giúp tôi qua nhiều cơn nguy hiểm. Nhưng hôm nay, dân làng sẽ nâng cốc cho các bạn. Nghỉ ngơi tốt, hiệp sĩ, làng đã an toàn và ai cũng biết phải cảm ơn ai."
"em_yggdrasil_main_quest_4_loki_the_god_of_mischief.questCompleteMessage[3]","&7&oThat was quite exhausting... but kind of fun.","&7&oKh├í l├á mß╗çt ─æß║Ñy... nh╞░ng c┼⌐ng vui."
"em_yggdrasil_main_quest_4_loki_the_god_of_mischief.questLore[0]","Ah, you’ve done more for this village than most ever dream, friend. And now, it’s time we stop dancing around and face the mischief maker himself.","&oBạn đã làm cho ngôi làng này nhiều hơn nhiều người từng mơ, chiến hữu. Và giờ là lúc dừng việc vòng vo và đối diện trực tiếp với kẻ tạo ra rắc rối này."
"em_yggdrasil_main_quest_4_loki_the_god_of_mischief.questLore[1]","You’ve seen that great tree in the heart of the village, aye? At its base lies a door, not carved by any craftsman’s hand, but shaped by trickery and old magic. Step through it, and you’ll find your way to Loki’s perch at the very top.","Bạn đã thấy cây đại thụ giữa làng chưa? Ở chân nó có một cánh cửa, không do tay nghề thợ nào tạc ra, mà được tạo nên bởi những thủ thuật và phép thuật cổ xưa. Bước qua nó, bạn sẽ đến chỗ ngồi của Loki ở tận đỉnh."
"em_yggdrasil_main_quest_4_loki_the_god_of_mischief.questLore[2]","Now, I should be there at your side... but here’s the truth I’ve long kept close, Loki is my patron. He has guided my hand in battle, turned the tide when all hope seemed lost, and lent me strength when my own failed.","Giờ lẽ ra tôi phải ở bên cạnh bạn... nhưng đây là sự thật tôi đã giữ kín bấy lâu: Loki là đấng bảo trợ của tôi. Người đã dẫn dắt tay tôi trong chiến trận, xoay chuyển cục diện khi mọi hy vọng tưởng như vụt tắt, và ban cho tôi sức mạnh khi bản thân tôi không còn gì."
"em_yggdrasil_main_quest_4_loki_the_god_of_mischief.questLore[3]","You might wonder why I’d bend the knee to such a trickster, but I’ve always been one for a good jest, a clever prank, a laugh in the face of trouble... until the time comes to swing steel, of course!","Bạn có thể thắc mắc vì sao tôi lại cúi đầu trước một tên lừa gạt như vậy, nhưng tôi luôn thích một lời đùa hay, một trò nghịch thông minh, tiếng cười trước rắc rối... cho đến lúc vung thép, dĩ nhiên!"
"em_yggdrasil_main_quest_4_loki_the_god_of_mischief.questLore[4]","But now... now his games cut too deep, and the village suffers for it. I cannot raise my hand against him not after all he’s given me. That task falls to you, brave one.","Nhưng giờ... trò đùa của hắn đã đi quá xa, và ngôi làng đang phải chịu hậu quả. Tôi không thể xuống tay với hắn sau tất cả những gì hắn đã cho tôi. Nhiệm vụ đó thuộc về bạn, người dũng cảm."
"em_yggdrasil_main_quest_4_loki_the_god_of_mischief.questLore[5]","So go. Step through that door, climb to his stage at the crown of the tree, and face Loki himself. Tell him his cruel prank ends here.","Vậy đi thôi. Bước qua cánh cửa đó, leo lên sân khấu trên đỉnh cây, và đối mặt trực tiếp Loki. Hãy bảo hắn rằng trò trêu hại của hắn kết thúc tại đây."
"em_yggdrasil_main_quest_boots.lore[0]","&2They simply showed up at your feet.","&2Chúng đơn giản xuất hiện trước chân bạn."
"em_yggdrasil_main_quest_boots.lore[1]","&2You can almost hear tiny whispers urging","&2Bạn có thể gần như nghe những tiếng thì thầm nhỏ khuyến khích"
"em_yggdrasil_main_quest_boots.lore[2]","&2you to run faster, jump higher.","&2bạn chạy nhanh hơn, nhảy cao hơn."
"em_yggdrasil_main_quest_boots.name","&2Loki's Steps","&2Bước Của Loki"
"em_yggdrasil_main_quest_chestplate.lore[0]","&6It suddenly materialized on your shoulders.","&6Nó đột nhiên hiện ra trên vai bạn."
"em_yggdrasil_main_quest_chestplate.lore[1]","&6Woven with threads that seem to shimmer","&6Dệt từ những sợi chỉ dường như phát quang"
"em_yggdrasil_main_quest_chestplate.lore[2]","&6with mischief.","&6với sự nghịch ngợm."
"em_yggdrasil_main_quest_chestplate.name","&6Prankster's Garb","&6Áo Kẻ Nghịch Ngợm"
"em_yggdrasil_main_quest_helmet.lore[0]","&5This appeared in your inventory without warning.","&5Nó xuất hiện trong túi đồ của bạn không có lời cảnh báo."
"em_yggdrasil_main_quest_helmet.lore[1]","&5You can almost hear a soft chuckle as you put it on.","&5Bạn gần như nghe tiếng cười khúc khích nhẹ khi đội lên."
"em_yggdrasil_main_quest_helmet.name","&5Trickster's Hood","&5Mũ Trùm Kẻ Gian Xảo"
"em_yggdrasil_main_quest_leggings.lore[0]","&3These appeared in your inventory like magic.","&3Chúng xuất hiện trong túi đồ như phép thuật."
"em_yggdrasil_main_quest_leggings.lore[1]","&3They feel light yet strangely energized,","&3Chúng nhẹ nhưng lại có năng lượng kỳ lạ,"
"em_yggdrasil_main_quest_leggings.lore[2]","&3as if ready to dash off on their own.","&3như sẵn sàng lao đi một mình."
"em_yggdrasil_main_quest_leggings.name","&3Mischief's Trousers","&3Quần Của Nghịch Ngợm"
"em_yggdrasil_miniboss_jotnar.name","$minibossLevel &9Jotun Norve","$minibossLevel &9Jotun Norve"
"em_yggdrasil_miniboss_jotnar_p2.name","$minibossLevel &9Jotun Norve","$minibossLevel &9Jotun Norve"
"em_yggdrasil_miniboss_wyrm.name","$minibossLevel &cWyrm","$minibossLevel &cWyrm"
"em_yggdrasil_mob_crowd_control_nisse.name","$level &fNisse","$level &fNisse"
"em_yggdrasil_mob_crowd_control_ratatoskr.name","$level &fRatatoskr","$level &fRatatoskr"
"em_yggdrasil_mob_dps_draugr.name","$level &4Draugr","$level &4Draugr"
"em_yggdrasil_mob_elite_duergar.name","$level &0Duergar","$level &0Duergar"
"em_yggdrasil_mob_elite_thunder_bear.name","$level &0Thunder Bear","$level &0Gấu Sấm"
"em_yggdrasil_mob_healer_valkyrie.name","$level &aValkyrie","$level &aValkyrie"
"em_yggdrasil_mob_tank_fenrir.name","$level &eFenrir","$level &eFenrir"
"em_yggdrasil_mob_tank_troll.name","$level &eTroll","$level &eTroll"
"em_yggdrasil_reinforcement_jotnar_harpy.name","$level &bIce Harpy","$level &bHải Mã Băng"
"em_yggdrasil_reinforcement_jotnar_revenant.name","$level &bGlacial Revenant","$level &bQuỷ Hồi Sinh Băng Hà"
"em_yggdrasil_side_quest_loud_dwarves.name","&6Loudest Dwarves of All Time!","&6Những chú lùn ồn ào nhất mọi thời đại!"
"em_yggdrasil_side_quest_loud_dwarves.questAcceptDialog[0]","&e[Heidi]&f Ah, thank you! If you want to help, take the path right behind me. Follow it through the district and you’ll find the dwarves causing all the ruckus and a few mischievous beasties along the way. Clear them out, and maybe I’ll finally get some well earned sleep!","&e[Heidi]&f À, cảm ơn! Nếu bạn muốn giúp, đi theo con đường ngay sau tôi. Theo nó qua khu vực và bạn sẽ gặp lũ lùn gây rối cùng vài con quái tinh nghịch trên đường. Dọn sạch chúng đi, biết đâu tôi mới có được giấc ngủ xứng đáng!"
"em_yggdrasil_side_quest_loud_dwarves.questAcceptDialog[1]","&7&oI should be careful, these dwarves are not like the other creatures in this village.","&7&oTôi nên cẩn thận, lũ lùn này không giống sinh vật khác trong làng."
"em_yggdrasil_side_quest_loud_dwarves.questCompleteMessage[0]","&e[Heidi]&f Ah, finally some peace! Thank you for dealing with those nuisances, I can finally rest properly. You’ve done the district and me a great service!","&e[Heidi]&f À, cuối cùng có chút yên bình! Cảm ơn đã xử lý mấy kẻ quấy rối, giờ tôi mới được nghỉ ngơi tử tế. Bạn đã làm một việc lớn cho khu này và cho tôi!"
"em_yggdrasil_side_quest_loud_dwarves.questCompleteMessage[1]","&7&oTo be honest, they were quite loud...","&7&oNói thật, chúng khá ồn ào..."
"em_yggdrasil_side_quest_loud_dwarves.questLore[0]","By the gods, I haven’t had a proper wink of sleep in days! First I stayed up too long tending to business, and then, bam! My district was overrun with beasties and dwarves banging their shields like madmen.","Trời đất ơi, tôi đã nhiều ngày không chợp mắt tử tế được! Đầu tiên tôi thức khuya lo việc làm ăn, rồi đoàng một cái! Khu của tôi bị lũ quái vật và đám người lùn gõ khiên điên cuồng tràn ngập."
"em_yggdrasil_side_quest_loud_dwarves.questLore[1]","I panicked at first, thought the village was in real peril, but turns out the creatures are more nuisance than danger. Still, I can’t catch a wink when those armored oafs keep slamming about! I’ve tried sleeping elsewhere, but nothing matches my bed. My bed or no sleep at all!","Ban đầu tôi hoảng loạn, tưởng ngôi làng gặp nguy thật sự, nhưng hóa ra lũ sinh vật đó phiền nhiều hơn nguy hiểm. Dù vậy, tôi không thể chợp mắt khi mấy tên giáp sắt ngốc nghếch cứ đập phá ầm ĩ! Tôi đã thử ngủ chỗ khác, nhưng chẳng đâu bằng cái giường của tôi. Không có giường là tôi thức trắng!"
"em_yggdrasil_side_quest_loud_dwarves.questLore[2]","Please, drive out the creatures and especially those noisy dwarves. If you can give me back my peace and quiet, I’ll finally get the rest I need, and you’ll be a hero to my poor, weary head.","Xin hãy đuổi sạch các sinh vật, đặc biệt là những chú lùn ồn ào. Nếu bạn trả lại bình yên cho tôi, tôi sẽ có thể nghỉ ngơi như cần thiết, và bạn sẽ là người hùng với đầu óc kiệt sức của tôi."
"em_yggdrasil_side_quest_loud_dwarves_heidi.dialog[0]","I haven't slept in three days...","Tôi đã ba ngày chưa ngủ..."
"em_yggdrasil_side_quest_loud_dwarves_heidi.dialog[1]","Why are the dwarves so loud!","Tại sao lũ lùn ồn ào vậy!"
"em_yggdrasil_side_quest_loud_dwarves_heidi.farewell[0]","Bye...","Tß║ím biß╗çt..."
"em_yggdrasil_side_quest_loud_dwarves_heidi.greetings[0]","Hi...","Này..."
"em_yggdrasil_side_quest_loud_dwarves_heidi.name","&6Heidi","&6Heidi"
"em_yggdrasil_side_quest_loud_dwarves_heidi.role","&6<Exhausted Villager>","&6<Nhân vật dân làng kiệt sức>"
"em_yggdrasil_side_quest_my_beans.name","&6My Beans!","&6Hạt đậu của tôi!"
"em_yggdrasil_side_quest_my_beans.questAcceptDialog[0]","&e[Jensen]&f Take the path behind me. Be ready for anything, the district is full of beasties and those &cThunder Bears &fare no joke.","&e[Jensen]&f Đi theo lối sau tôi. Hãy sẵn sàng, khu này đầy quái vật và cả những &cThunder Bears &fare không đùa."
"em_yggdrasil_side_quest_my_beans.questAcceptDialog[1]","&7&oI should go slay the &c&oThunder Bears&7&o so this poor man can have his beans...","&7&oTôi nên đi hạ gục bọn &c&oThunder Bears&7&o để người đàn ông này lấy lại hạt đậu của mình..."
"em_yggdrasil_side_quest_my_beans.questCompleteMessage[0]","&a[Jensen]&f You did it! I owe you a cup of the strongest brew in the village, maybe even two!","&a[Jensen]&f Bạn đã làm được! Tôi nợ bạn một cốc đồ uống đậm nhất làng, thậm chí có thể hai cốc!"
"em_yggdrasil_side_quest_my_beans.questCompleteMessage[1]","&7&oI really could use some after fighting those things...","&7&oSau khi đánh bọn đó, tôi thực sự cần vài ngụm..."
"em_yggdrasil_side_quest_my_beans.questLore[0]","Finally, someone not under a spell! I need my coffee, but the beans are locked away in that house over there.","Cuối cùng cũng có người không bị yểm bùa! Tôi cần cà phê của mình, nhưng hạt cà phê bị khóa trong căn nhà đằng kia."
"em_yggdrasil_side_quest_my_beans.questLore[1]","The problem is, those &cThunder Bears &fare everywhere, rushing at me like dogs sniffing me out, and I can barely make it through without getting knocked over.","Vấn đề là, lũ &cThunder Bears &fare đi khắp nơi, lao tới tôi như chó đang ngửi mùi, và tôi gần như không thể qua được mà không bị hất ngã."
"em_yggdrasil_side_quest_my_beans.questLore[2]","I barely escaped those crazy cuddle bears last time, the smell of coffee seems to excite them even more!","Lần trước tôi suýt thoát khỏi mấy con gấu ôm điên rồ đó, mùi cà phê dường như còn khiến chúng phấn khích hơn nữa!"
"em_yggdrasil_side_quest_my_beans.questLore[3]","Could you clear out those Thunder Bears for me? Once they’re dealt with, I’ll finally be able to get to my house and grab the coffee beans.","Bạn có thể dọn sạch đám Gấu Sấm đó giúp tôi không? Khi xử lý xong chúng, cuối cùng tôi mới có thể về nhà lấy hạt cà phê."
"em_yggdrasil_side_quest_my_beans_jensen.dialog[0]","Darn beasts, they took my beans!","Khỉ thật, lũ thú đã lấy mất đậu của tôi!"
"em_yggdrasil_side_quest_my_beans_jensen.farewell[0]","Hope you have a better day than me!","Mong bạn có một ngày tốt hơn tôi!"
"em_yggdrasil_side_quest_my_beans_jensen.greetings[0]","Greetings.","Xin chào."
"em_yggdrasil_side_quest_my_beans_jensen.name","&6Jensen","&6Jensen"
"em_yggdrasil_side_quest_my_beans_jensen.role","&6<Coffee Connoisseur>","&6<Nhà sành cà phê>"
"em_yggdrasil_side_quest_shield.lore[0]","&bIt arrived in your inventory unexpectedly.","&bNó đến túi đồ của bạn một cách bất ngờ."
"em_yggdrasil_side_quest_shield.lore[1]","&bCarved with symbols that seem to","&bKhắc những ký hiệu dường như"
"em_yggdrasil_side_quest_shield.lore[2]","&bgiggle softly when held.","&bgiggle nhẹ nhàng khi cầm lên."
"em_yggdrasil_side_quest_shield.name","&bJester's Bulwark","&bKhiên Của Hề"
